Índice de Desenvolvimento Humano - Municípios da UF: Rio Grande do Sul;;;
Abrangências geográficas;1991;2000;2010
Aceguá;0,509;0,621;0,687
Água Santa;0,448;0,630;0,750
Agudo;0,449;0,593;0,694
Ajuricaba;0,498;0,646;0,753
Alecrim;0,425;0,548;0,672
Alegrete;0,524;0,641;0,740
Alegria;0,412;0,578;0,695
Almirante Tamandaré do Su;0,491;0,601;0,740
Alpestre;0,346;0,524;0,671
Alto Alegre;0,567;0,662;0,747
Alto Feliz;0,500;0,640;0,734
Alvorada;0,472;0,582;0,699
Amaral Ferrador;0,356;0,507;0,624
Ametista do Sul;0,392;0,539;0,682
André da Rocha;0,504;0,591;0,720
Anta Gorda;0,486;0,642;0,740
Antônio Prado;0,543;0,683;0,758
Arambaré;0,348;0,560;0,691
Araricá;0,414;0,565;0,679
Aratiba;0,455;0,615;0,772
Arroio do Meio;0,557;0,690;0,769
Arroio do Sal;0,480;0,664;0,740
Arroio do Padre;0,319;0,560;0,669
Arroio dos Ratos;0,468;0,610;0,698
Arroio do Tigre;0,433;0,568;0,707
Arroio Grande;0,484;0,588;0,657
Arvorezinha;0,458;0,593;0,694
Augusto Pestana;0,502;0,635;0,743
Áurea;0,408;0,582;0,707
Bagé;0,561;0,659;0,740
Balneário Pinhal;0,440;0,618;0,696
Barão;0,456;0,622;0,748
Barão de Cotegipe;0,450;0,633;0,719
Barão do Triunfo;0,363;0,482;0,610
Barracão;0,439;0,566;0,710
Barra do Guarita;0,410;0,559;0,734
Barra do Quaraí;0,479;0,549;0,662
Barra do Ribeiro;0,479;0,619;0,670
Barra do Rio Azul;0,443;0,561;0,723
Barra Funda;0,501;0,666;0,763
Barros Cassal;0,361;0,511;0,650
Benjamin Constant do Sul;0,312;0,450;0,619
Bento Gonçalves;0,612;0,712;0,778
Boa Vista das Missões;0,340;0,605;0,676
Boa Vista do Buricá;0,535;0,669;0,762
Boa Vista do Cadeado;0,411;0,585;0,703
Boa Vista do Incra;0,486;0,643;0,731
Boa Vista do Sul;0,491;0,655;0,728
Bom Jesus;0,420;0,541;0,666
Bom Princípio;0,520;0,670;0,746
Bom Progresso;0,407;0,566;0,723
Bom Retiro do Sul;0,501;0,639;0,739
Boqueirão do Leão;0,452;0,563;0,700
Bossoroca;0,457;0,586;0,692
Bozano;0,447;0,615;0,745
Braga;0,375;0,553;0,674
Brochier;0,471;0,566;0,699
Butiá;0,455;0,579;0,689
Caçapava do Sul;0,494;0,599;0,704
Cacequi;0,491;0,580;0,700
Cachoeira do Sul;0,546;0,661;0,742
Cachoeirinha;0,546;0,672;0,757
Cacique Doble;0,424;0,576;0,662
Caibaté;0,483;0,614;0,719
Caiçara;0,471;0,612;0,699
Camaquã;0,469;0,609;0,697
Camargo;0,457;0,661;0,736
Cambará do Sul;0,476;0,564;0,697
Campestre da Serra;0,436;0,622;0,706
Campina das Missões;0,515;0,607;0,738
Campinas do Sul;0,528;0,665;0,760
Campo Bom;0,517;0,669;0,745
Campo Novo;0,477;0,568;0,703
Campos Borges;0,428;0,560;0,708
Candelária;0,428;0,561;0,674
Cândido Godói;0,491;0,647;0,728
Candiota;0,502;0,622;0,698
Canela;0,494;0,638;0,748
Canguçu;0,381;0,516;0,650
Canoas;0,556;0,665;0,750
Canudos do Vale;0,391;0,556;0,713
Capão Bonito do Sul;0,442;0,531;0,637
Capão da Canoa;0,526;0,639;0,743
Capão do Cipó;0,383;0,561;0,672
Capão do Leão;0,413;0,542;0,637
Capivari do Sul;0,511;0,658;0,766
Capela de Santana;0,416;0,534;0,661
Capitão;0,398;0,614;0,746
Carazinho;0,562;0,678;0,766
Caraá;0,370;0,508;0,652
Carlos Barbosa;0,553;0,724;0,796
Carlos Gomes;0,423;0,596;0,739
Casca;0,531;0,688;0,785
Caseiros;0,415;0,590;0,703
Catuípe;0,542;0,635;0,739
Caxias do Sul;0,594;0,705;0,782
Centenário;0,390;0,545;0,701
Cerrito;0,415;0,574;0,649
Cerro Branco;0,420;0,544;0,661
Cerro Grande;0,388;0,557;0,674
Cerro Grande do Sul;0,371;0,513;0,660
Cerro Largo;0,541;0,664;0,764
Chapada;0,490;0,642;0,757
Charqueadas;0,551;0,649;0,747
Charrua;0,375;0,501;0,620
Chiapetta;0,496;0,606;0,732
Chuí;0,539;0,654;0,706
Chuvisca;0,296;0,481;0,616
Cidreira;0,466;0,640;0,729
Ciríaco;0,446;0,595;0,719
Colinas;0,535;0,625;0,765
Colorado;0,548;0,665;0,758
Condor;0,473;0,609;0,747
Constantina;0,488;0,630;0,754
Coqueiro Baixo;0,385;0,582;0,692
Coqueiros do Sul;0,422;0,601;0,746
Coronel Barros;0,451;0,612;0,744
Coronel Bicaco;0,445;0,579;0,665
Coronel Pilar;0,519;0,602;0,727
Cotiporã;0,505;0,645;0,741
Coxilha;0,415;0,594;0,706
Crissiumal;0,469;0,589;0,712
Cristal;0,433;0,537;0,644
Cristal do Sul;0,315;0,516;0,660
Cruz Alta;0,559;0,679;0,750
Cruzaltense;0,356;0,582;0,719
Cruzeiro do Sul;0,506;0,637;0,723
David Canabarro;0,499;0,629;0,762
Derrubadas;0,361;0,573;0,707
Dezesseis de Novembro;0,408;0,529;0,654
Dilermando de Aguiar;0,411;0,558;0,648
Dois Irmãos;0,535;0,676;0,743
Dois Irmãos das Missões;0,363;0,559;0,670
Dois Lajeados;0,513;0,694;0,757
Dom Feliciano;0,318;0,470;0,587
Dom Pedro de Alcântara;0,395;0,572;0,691
Dom Pedrito;0,515;0,621;0,708
Dona Francisca;0,479;0,605;0,697
Doutor Maurício Cardoso;0,482;0,650;0,706
Doutor Ricardo;0,405;0,575;0,724
Eldorado do Sul;0,480;0,620;0,717
Encantado;0,603;0,700;0,767
Encruzilhada do Sul;0,431;0,551;0,657
Engenho Velho;0,353;0,533;0,717
Entre-Ijuís;0,473;0,589;0,680
Entre Rios do Sul;0,382;0,595;0,703
Erebango;0,459;0,606;0,712
Erechim;0,578;0,696;0,776
Ernestina;0,475;0,642;0,716
Herval;0,443;0,548;0,687
Erval Grande;0,338;0,560;0,681
Erval Seco;0,434;0,538;0,685
Esmeralda;0,478;0,538;0,680
Esperança do Sul;0,398;0,498;0,661
Espumoso;0,519;0,653;0,765
Estação;0,534;0,662;0,753
Estância Velha;0,537;0,674;0,757
Esteio;0,589;0,693;0,754
Estrela;0,564;0,676;0,767
Estrela Velha;0,374;0,535;0,679
Eugênio de Castro;0,469;0,621;0,712
Fagundes Varela;0,473;0,633;0,763
Farroupilha;0,560;0,691;0,777
Faxinal do Soturno;0,540;0,643;0,720
Faxinalzinho;0,408;0,574;0,666
Fazenda Vilanova;0,429;0,548;0,698
Feliz;0,563;0,659;0,750
Flores da Cunha;0,523;0,674;0,754
Floriano Peixoto;0,347;0,532;0,663
Fontoura Xavier;0,331;0,504;0,661
Formigueiro;0,454;0,579;0,682
Forquetinha;0,467;0,553;0,683
Fortaleza dos Valos;0,535;0,658;0,756
Frederico Westphalen;0,536;0,683;0,760
Garibaldi;0,575;0,712;0,786
Garruchos;0,252;0,549;0,671
Gaurama;0,498;0,662;0,738
General Câmara;0,471;0,619;0,686
Gentil;0,410;0,628;0,733
Getúlio Vargas;0,532;0,665;0,746
Giruá;0,479;0,626;0,721
Glorinha;0,424;0,587;0,714
Gramado;0,546;0,698;0,764
Gramado dos Loureiros;0,336;0,573;0,685
Gramado Xavier;0,356;0,460;0,634
Gravataí;0,540;0,661;0,736
Guabiju;0,489;0,674;0,758
Guaíba;0,522;0,654;0,730
Guaporé;0,553;0,670;0,765
Guarani das Missões;0,471;0,592;0,737
Harmonia;0,541;0,663;0,749
Herveiras;0,299;0,441;0,616
Horizontina;0,568;0,725;0,783
Hulha Negra;0,386;0,569;0,643
Humaitá;0,538;0,640;0,738
Ibarama;0,369;0,528;0,652
Ibiaçá;0,484;0,677;0,739
Ibiraiaras;0,489;0,645;0,724
Ibirapuitã;0,417;0,527;0,638
Ibirubá;0,511;0,674;0,765
Igrejinha;0,481;0,603;0,721
Ijuí;0,553;0,683;0,781
Ilópolis;0,471;0,613;0,730
Imbé;0,547;0,677;0,764
Imigrante;0,514;0,690;0,743
Independência;0,465;0,601;0,693
Inhacorá;0,369;0,554;0,673
Ipê;0,503;0,615;0,728
Ipiranga do Sul;0,488;0,673;0,791
Iraí;0,469;0,595;0,691
Itaara;0,450;0,607;0,760
Itacurubi;0,420;0,539;0,657
Itapuca;0,377;0,495;0,664
Itaqui;0,504;0,630;0,713
Itati;0,397;0,554;0,669
Itatiba do Sul;0,374;0,533;0,681
Ivorá;0,512;0,637;0,724
Ivoti;0,551;0,697;0,784
Jaboticaba;0,414;0,510;0,658
Jacuizinho;0,344;0,466;0,662
Jacutinga;0,508;0,620;0,726
Jaguarão;0,512;0,620;0,707
Jaguari;0,506;0,601;0,712
Jaquirana;0,363;0,470;0,614
Jari;0,273;0,516;0,631
Jóia;0,450;0,587;0,686
Júlio de Castilhos;0,542;0,626;0,716
Lagoa Bonita do Sul;0,339;0,533;0,670
Lagoão;0,296;0,476;0,643
Lagoa dos Três Cantos;0,566;0,664;0,789
Lagoa Vermelha;0,520;0,650;0,738
Lajeado;0,598;0,715;0,778
Lajeado do Bugre;0,233;0,504;0,613
Lavras do Sul;0,504;0,629;0,699
Liberato Salzano;0,363;0,521;0,685
Lindolfo Collor;0,427;0,540;0,712
Linha Nova;0,475;0,611;0,749
Machadinho;0,454;0,571;0,692
Maçambará;0,403;0,562;0,684
Mampituba;0,372;0,518;0,649
Manoel Viana;0,410;0,543;0,655
Maquiné;0,460;0,579;0,682
Maratá;0,474;0,591;0,697
Marau;0,542;0,678;0,774
Marcelino Ramos;0,478;0,631;0,724
Mariana Pimentel;0,449;0,604;0,701
Mariano Moro;0,483;0,656;0,730
Marques de Souza;0,482;0,627;0,687
Mata;0,431;0,551;0,656
Mato Castelhano;0,434;0,665;0,727
Mato Leitão;0,472;0,623;0,746
Mato Queimado;0,461;0,617;0,717
Maximiliano de Almeida;0,445;0,562;0,699
Minas do Leão;0,417;0,547;0,681
Miraguaí;0,412;0,584;0,725
Montauri;0,484;0,608;0,764
Monte Alegre dos Campos;0,305;0,462;0,650
Monte Belo do Sul;0,498;0,629;0,752
Montenegro;0,543;0,668;0,755
Mormaço;0,408;0,584;0,714
Morrinhos do Sul;0,397;0,593;0,711
Morro Redondo;0,437;0,572;0,702
Morro Reuter;0,428;0,656;0,743
Mostardas;0,439;0,571;0,664
Muçum;0,549;0,641;0,746
Muitos Capões;0,397;0,534;0,702
Muliterno;0,404;0,598;0,689
Não-Me-Toque;0,572;0,692;0,765
Nicolau Vergueiro;0,410;0,676;0,753
Nonoai;0,442;0,584;0,702
Nova Alvorada;0,455;0,566;0,740
Nova Araçá;0,580;0,732;0,785
Nova Bassano;0,525;0,674;0,747
Nova Boa Vista;0,509;0,640;0,768
Nova Bréscia;0,553;0,695;0,778
Nova Candelária;0,385;0,603;0,759
Nova Esperança do Sul;0,526;0,593;0,735
Nova Hartz;0,436;0,578;0,689
Nova Pádua;0,525;0,688;0,761
Nova Palma;0,510;0,659;0,744
Nova Petrópolis;0,589;0,697;0,780
Nova Prata;0,586;0,689;0,766
Nova Ramada;0,416;0,576;0,742
Nova Roma do Sul;0,533;0,677;0,741
Nova Santa Rita;0,455;0,609;0,718
Novo Cabrais;0,415;0,538;0,688
Novo Hamburgo;0,544;0,671;0,747
Novo Machado;0,447;0,560;0,663
Novo Tiradentes;0,406;0,538;0,676
Novo Xingu;0,412;0,585;0,767
Novo Barreiro;0,368;0,552;0,706
Osório;0,565;0,671;0,751
Paim Filho;0,465;0,606;0,706
Palmares do Sul;0,498;0,609;0,715
Palmeira das Missões;0,500;0,635;0,737
Palmitinho;0,413;0,615;0,720
Panambi;0,537;0,688;0,761
Pantano Grande;0,444;0,589;0,661
Paraí;0,566;0,678;0,773
Paraíso do Sul;0,441;0,557;0,676
Pareci Novo;0,478;0,660;0,749
Parobé;0,444;0,600;0,704
Passa Sete;0,300;0,503;0,622
Passo do Sobrado;0,483;0,601;0,698
Passo Fundo;0,589;0,701;0,776
Paulo Bento;0,407;0,608;0,710
Paverama;0,387;0,540;0,683
Pedras Altas;0,372;0,482;0,640
Pedro Osório;0,518;0,595;0,678
Pejuçara;0,542;0,650;0,741
Pelotas;0,558;0,660;0,739
Picada Café;0,520;0,653;0,758
Pinhal;0,403;0,628;0,720
Pinhal da Serra;0,278;0,512;0,650
Pinhal Grande;0,405;0,566;0,678
Pinheirinho do Vale;0,375;0,530;0,710
Pinheiro Machado;0,425;0,584;0,661
Pinto Bandeira;**;**;**
Pirapó;0,391;0,531;0,669
Piratini;0,408;0,550;0,658
Planalto;0,444;0,587;0,687
Poço das Antas;0,489;0,645;0,744
Pontão;0,373;0,585;0,725
Ponte Preta;0,336;0,560;0,725
Portão;0,453;0,618;0,713
Porto Alegre;0,660;0,744;0,805
Porto Lucena;0,437;0,578;0,693
Porto Mauá;0,474;0,593;0,698
Porto Vera Cruz;0,406;0,544;0,690
Porto Xavier;0,490;0,616;0,723
Pouso Novo;0,497;0,625;0,715
Presidente Lucena;0,455;0,621;0,757
Progresso;0,405;0,535;0,683
Protásio Alves;0,423;0,636;0,733
Putinga;0,444;0,577;0,715
Quaraí;0,542;0,630;0,704
Quatro Irmãos;0,330;0,504;0,689
Quevedos;0,343;0,491;0,665
Quinze de Novembro;0,477;0,657;0,756
Redentora;0,350;0,464;0,631
Relvado;0,406;0,588;0,731
Restinga Seca;0,490;0,586;0,683
Rio dos Índios;0,327;0,512;0,656
Rio Grande;0,527;0,652;0,744
Rio Pardo;0,482;0,609;0,693
Riozinho;0,420;0,568;0,661
Roca Sales;0,510;0,627;0,729
Rodeio Bonito;0,496;0,642;0,732
Rolador;0,366;0,583;0,689
Rolante;0,444;0,595;0,688
Ronda Alta;0,457;0,619;0,724
Rondinha;0,494;0,650;0,764
Roque Gonzales;0,448;0,567;0,688
Rosário do Sul;0,496;0,616;0,699
Sagrada Família;0,327;0,541;0,678
Saldanha Marinho;0,508;0,689;0,762
Salto do Jacuí;0,459;0,589;0,687
Salvador das Missões;0,518;0,655;0,753
Salvador do Sul;0,524;0,665;0,740
Sananduva;0,513;0,660;0,747
Santa Bárbara do Sul;0,541;0,653;0,725
Santa Cecília do Sul;0,372;0,529;0,725
Santa Clara do Sul;0,493;0,612;0,740
Santa Cruz do Sul;0,561;0,682;0,773
Santa Maria;0,609;0,715;0,784
Santa Maria do Herval;0,401;0,598;0,676
Santa Margarida do Sul;0,426;0,526;0,663
Santana da Boa Vista;0,388;0,553;0,633
Sant'Ana do Livramento;0,557;0,663;0,727
Santa Rosa;0,555;0,685;0,769
Santa Tereza;0,461;0,611;0,746
Santa Vitória do Palmar;0,501;0,626;0,712
Santiago;0,559;0,696;0,766
Santo Ângelo;0,568;0,685;0,772
Santo Antônio do Palma;0,453;0,667;0,764
Santo Antônio da Patrulha;0,508;0,620;0,717
Santo Antônio das Missões;0,435;0,582;0,686
Santo Antônio do Planalto;0,510;0,693;0,759
Santo Augusto;0,480;0,627;0,739
Santo Cristo;0,503;0,642;0,738
Santo Expedito do Sul;0,379;0,627;0,732
São Borja;0,540;0,637;0,736
São Domingos do Sul;0,568;0,690;0,763
São Francisco de Assis;0,445;0,558;0,675
São Francisco de Paula;0,464;0,592;0,685
São Gabriel;0,518;0,624;0,699
São Jerônimo;0,478;0,609;0,696
São João da Urtiga;0,428;0,572;0,694
São João do Polêsine;0,499;0,686;0,748
São Jorge;0,506;0,629;0,732
São José das Missões;0,326;0,540;0,651
São José do Herval;0,407;0,555;0,717
São José do Hortêncio;0,481;0,624;0,707
São José do Inhacorá;0,441;0,602;0,747
São José do Norte;0,360;0,481;0,623
São José do Ouro;0,489;0,653;0,755
São José do Sul;0,416;0,576;0,725
São José dos Ausentes;0,420;0,512;0,663
São Leopoldo;0,543;0,656;0,739
São Lourenço do Sul;0,469;0,589;0,687
São Luiz Gonzaga;0,520;0,634;0,741
São Marcos;0,555;0,695;0,768
São Martinho;0,470;0,638;0,726
São Martinho da Serra;0,369;0,541;0,652
São Miguel das Missões;0,403;0,570;0,667
São Nicolau;0,393;0,517;0,645
São Paulo das Missões;0,441;0,567;0,692
São Pedro da Serra;0,546;0,639;0,739
São Pedro das Missões;0,398;0,471;0,664
São Pedro do Butiá;0,553;0,666;0,763
São Pedro do Sul;0,476;0,614;0,709
São Sebastião do Caí;0,552;0,662;0,739
São Sepé;0,506;0,614;0,708
São Valentim;0,458;0,544;0,720
São Valentim do Sul;0,502;0,671;0,764
São Valério do Sul;0,431;0,532;0,642
São Vendelino;0,509;0,655;0,754
São Vicente do Sul;0,488;0,589;0,685
Sapiranga;0,463;0,597;0,711
Sapucaia do Sul;0,513;0,633;0,726
Sarandi;0,535;0,677;0,777
Seberi;0,406;0,597;0,723
Sede Nova;0,451;0,571;0,712
Segredo;0,394;0,530;0,659
Selbach;0,570;0,741;0,777
Senador Salgado Filho;0,393;0,590;0,693
Sentinela do Sul;0,375;0,560;0,671
Serafina Corrêa;0,561;0,678;0,760
Sério;0,367;0,522;0,652
Sertão;0,495;0,684;0,751
Sertão Santana;0,409;0,577;0,689
Sete de Setembro;0,389;0,532;0,683
Severiano de Almeida;0,451;0,633;0,752
Silveira Martins;0,502;0,652;0,742
Sinimbu;0,374;0,513;0,631
Sobradinho;0,538;0,650;0,743
Soledade;0,522;0,633;0,731
Tabaí;0,379;0,602;0,701
Tapejara;0,490;0,660;0,760
Tapera;0,553;0,660;0,747
Tapes;0,498;0,619;0,695
Taquara;0,537;0,651;0,727
Taquari;0,498;0,641;0,733
Taquaruçu do Sul;0,435;0,588;0,739
Tavares;0,426;0,543;0,656
Tenente Portela;0,480;0,607;0,708
Terra de Areia;0,487;0,611;0,689
Teutônia;0,535;0,664;0,747
Tio Hugo;0,428;0,595;0,742
Tiradentes do Sul;0,392;0,551;0,689
Toropi;0,368;0,520;0,683
Torres;0,538;0,681;0,762
Tramandaí;0,504;0,633;0,719
Travesseiro;0,440;0,569;0,701
Três Arroios;0,482;0,637;0,791
Três Cachoeiras;0,509;0,638;0,718
Três Coroas;0,478;0,610;0,710
Três de Maio;0,533;0,655;0,759
Três Forquilhas;0,378;0,541;0,662
Três Palmeiras;0,388;0,594;0,703
Três Passos;0,523;0,686;0,768
Trindade do Sul;0,378;0,561;0,687
Triunfo;0,492;0,628;0,733
Tucunduva;0,562;0,661;0,747
Tunas;0,319;0,484;0,657
Tupanci do Sul;0,401;0,570;0,694
Tupanciretã;0,512;0,612;0,709
Tupandi;0,405;0,654;0,718
Tuparendi;0,495;0,642;0,728
Turuçu;0,352;0,528;0,629
Ubiretama;0,432;0,554;0,700
União da Serra;0,401;0,664;0,733
Unistalda;0,376;0,552;0,649
Uruguaiana;0,550;0,663;0,744
Vacaria;0,535;0,641;0,721
Vale Verde;0,403;0,549;0,646
Vale do Sol;0,335;0,496;0,624
Vale Real;0,451;0,604;0,737
Vanini;0,563;0,673;0,757
Venâncio Aires;0,477;0,610;0,712
Vera Cruz;0,456;0,582;0,737
Veranópolis;0,600;0,702;0,773
Vespasiano Correa;0,430;0,639;0,723
Viadutos;0,417;0,567;0,702
Viamão;0,511;0,620;0,717
Vicente Dutra;0,358;0,489;0,638
Victor Graeff;0,516;0,664;0,777
Vila Flores;0,563;0,621;0,742
Vila Lângaro;0,412;0,616;0,705
Vila Maria;0,464;0,662;0,761
Vila Nova do Sul;0,379;0,565;0,662
Vista Alegre;0,452;0,632;0,739
Vista Alegre do Prata;0,437;0,689;0,780
Vista Gaúcha;0,461;0,619;0,757
Vitória das Missões;0,432;0,556;0,655
Westfalia;0,564;0,680;0,752
Xangri-lá;0,502;0,642;0,735
** - Sem informação.;;;
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
