Índice de Desenvolvimento Humano - Municípios da UF: Tocantins;;;
Abrangências geográficas;1991;2000;2010
Abreulândia;0,215;0,454;0,665
Aguiarnópolis;0,295;0,466;0,657
Aliança do Tocantins;0,380;0,544;0,663
Almas;0,263;0,420;0,636
Alvorada;0,471;0,578;0,708
Ananás;0,295;0,496;0,671
Angico;0,235;0,485;0,648
Aparecida do Rio Negro;0,373;0,479;0,651
Aragominas;0,320;0,402;0,593
Araguacema;0,320;0,477;0,639
Araguaçu;0,332;0,542;0,675
Araguaína;0,451;0,580;0,752
Araguanã;0,280;0,388;0,604
Araguatins;0,301;0,432;0,631
Arapoema;0,318;0,480;0,680
Arraias;0,338;0,474;0,651
Augustinópolis;0,297;0,462;0,670
Aurora do Tocantins;0,355;0,486;0,677
Axixá do Tocantins;0,261;0,432;0,627
Babaçulândia;0,265;0,397;0,642
Bandeirantes do Tocantins;0,282;0,445;0,638
Barra do Ouro;0,170;0,360;0,603
Barrolândia;0,331;0,497;0,642
Bernardo Sayão;0,335;0,504;0,638
Bom Jesus do Tocantins;0,240;0,396;0,660
Brasilândia do Tocantins;0,297;0,505;0,684
Brejinho de Nazaré;0,346;0,487;0,686
Buriti do Tocantins;0,269;0,462;0,627
Cachoeirinha;0,314;0,443;0,627
Campos Lindos;0,138;0,343;0,544
Cariri do Tocantins;0,292;0,528;0,662
Carmolândia;0,239;0,447;0,640
Carrasco Bonito;0,152;0,407;0,594
Caseara;0,374;0,490;0,658
Centenário;0,209;0,407;0,569
Chapada de Areia;0,240;0,410;0,619
Chapada da Natividade;0,239;0,401;0,620
Colinas do Tocantins;0,418;0,561;0,701
Combinado;0,341;0,526;0,697
Conceição do Tocantins;0,310;0,422;0,592
Couto Magalhães;0,274;0,409;0,605
Cristalândia;0,431;0,544;0,673
Crixás do Tocantins;0,316;0,491;0,644
Darcinópolis;0,208;0,410;0,581
Dianópolis;0,385;0,515;0,701
Divinópolis do Tocantins;0,340;0,503;0,683
Dois Irmãos do Tocantins;0,270;0,439;0,583
Dueré;0,319;0,500;0,679
Esperantina;0,189;0,357;0,570
Fátima;0,412;0,543;0,697
Figueirópolis;0,393;0,553;0,689
Filadélfia;0,327;0,447;0,621
Formoso do Araguaia;0,311;0,507;0,670
Fortaleza do Tabocão;0,264;0,473;0,659
Goianorte;0,309;0,416;0,621
Goiatins;0,264;0,347;0,576
Guaraí;0,417;0,559;0,741
Gurupi;0,497;0,610;0,759
Ipueiras;0,160;0,384;0,620
Itacajá;0,311;0,426;0,612
Itaguatins;0,258;0,378;0,616
Itapiratins;0,258;0,382;0,601
Itaporã do Tocantins;0,350;0,515;0,650
Jaú do Tocantins;0,311;0,471;0,662
Juarina;0,177;0,448;0,584
Lagoa da Confusão;0,332;0,479;0,627
Lagoa do Tocantins;0,224;0,317;0,579
Lajeado;0,403;0,506;0,675
Lavandeira;0,305;0,431;0,660
Lizarda;0,306;0,388;0,570
Luzinópolis;0,280;0,454;0,639
Marianópolis do Tocantins;0,321;0,497;0,631
Mateiros;0,147;0,281;0,607
Maurilândia do Tocantins;0,195;0,383;0,580
Miracema do Tocantins;0,460;0,580;0,684
Miranorte;0,432;0,508;0,662
Monte do Carmo;0,302;0,413;0,622
Monte Santo do Tocantins;0,153;0,454;0,620
Palmeiras do Tocantins;0,169;0,435;0,628
Muricilândia;0,331;0,386;0,596
Natividade;0,336;0,476;0,673
Nazaré;0,295;0,482;0,643
Nova Olinda;0,326;0,467;0,631
Nova Rosalândia;0,388;0,556;0,661
Novo Acordo;0,329;0,473;0,639
Novo Alegre;0,410;0,544;0,699
Novo Jardim;0,235;0,371;0,596
Oliveira de Fátima;0,340;0,496;0,675
Palmeirante;0,205;0,326;0,571
Palmeirópolis;0,412;0,545;0,673
Paraíso do Tocantins;0,488;0,613;0,764
Paranã;0,267;0,334;0,595
Pau D'Arco;0,281;0,426;0,661
Pedro Afonso;0,421;0,546;0,732
Peixe;0,320;0,482;0,674
Pequizeiro;0,344;0,433;0,627
Colméia;0,391;0,502;0,671
Pindorama do Tocantins;0,315;0,423;0,605
Piraquê;0,271;0,431;0,621
Pium;0,326;0,487;0,650
Ponte Alta do Bom Jesus;0,276;0,411;0,603
Ponte Alta do Tocantins;0,320;0,461;0,624
Porto Alegre do Tocantins;0,383;0,440;0,645
Porto Nacional;0,424;0,562;0,740
Praia Norte;0,252;0,374;0,583
Presidente Kennedy;0,355;0,527;0,669
Pugmil;0,196;0,450;0,669
Recursolândia;0,148;0,330;0,500
Riachinho;0,157;0,361;0,572
Rio da Conceição;0,247;0,412;0,608
Rio dos Bois;0,255;0,476;0,616
Rio Sono;0,284;0,363;0,600
Sampaio;0,205;0,457;0,606
Sandolândia;0,294;0,498;0,659
Santa Fé do Araguaia;0,263;0,439;0,616
Santa Maria do Tocantins;0,248;0,412;0,634
Santa Rita do Tocantins;0,281;0,430;0,651
Santa Rosa do Tocantins;0,285;0,410;0,595
Santa Tereza do Tocantins;0,333;0,479;0,662
Santa Terezinha do Tocant;0,224;0,398;0,637
São Bento do Tocantins;0,208;0,411;0,605
São Félix do Tocantins;0,294;0,419;0,574
São Miguel do Tocantins;0,240;0,420;0,623
São Salvador do Tocantins;0,222;0,419;0,605
São Sebastião do Tocantin;0,249;0,439;0,573
São Valério;0,327;0,460;0,643
Silvanópolis;0,330;0,451;0,675
Sítio Novo do Tocantins;0,302;0,457;0,604
Sucupira;0,319;0,453;0,667
Taguatinga;0,316;0,451;0,634
Taipas do Tocantins;0,281;0,387;0,601
Talismã;0,296;0,481;0,654
Palmas;0,439;0,654;0,788
Tocantínia;0,349;0,445;0,589
Tocantinópolis;0,387;0,542;0,681
Tupirama;0,238;0,445;0,670
Tupiratins;0,421;0,446;0,587
Wanderlândia;0,346;0,474;0,638
Xambioá;0,344;0,504;0,671
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
