Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Paraíba;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Água Branca;7,7;14,3;14,4;12,2;12,9;11,9;5,8;11,6;30,1;27,9;42,9;59,4;66,0;79,5;80,2;78,4;76,5;81,5;80,9;85,2
Aguiar;27,4;56,4;53,7;39,8;32,6;21,6;20,0;26,1;58,1;56,8;59,2;60,3;80,4;63,0;72,7;60,0;65,2;79,7;81,5;80,0
Alagoa Grande;25,2;22,6;28,2;34,8;45,9;33,1;51,6;45,3;46,8;46,7;51,3;57,6;60,0;63,0;66,5;64,9;74,2;73,7;72,1;74,3
Alagoa Nova;7,8;25,5;26,7;37,4;42,2;37,9;52,7;47,0;45,4;59,0;60,9;55,7;65,5;71,1;69,3;69,3;68,1;69,5;70,7;72,2
Alagoinha;51,4;60,2;49,6;54,1;63,9;60,3;48,5;43,3;44,8;42,7;54,9;58,6;70,4;70,9;67,5;72,1;71,7;75,8;75,8;74,4
Alcantil;35,0;36,4;52,1;50,6;51,3;46,4;61,9;65,7;68,0;71,3;60,7;56,2;74,1;64,8;70,2;73,6;77,1;69,1;81,0;85,4
Algodão de Jandaíra;**;46,9;16,3;18,6;10,2;38,3;50,0;52,3;55,0;54,9;64,0;75,5;76,9;71,8;65,8;72,5;75,9;74,5;78,7;72,1
Alhandra;26,9;40,6;53,2;47,8;46,7;39,9;33,2;39,6;38,2;40,0;52,1;57,1;58,4;56,4;58,6;60,4;61,0;58,4;59,5;63,2
São João do Rio do Peixe;26,1;25,3;31,3;40,3;49,3;63,2;71,6;61,7;50,0;58,9;60,1;59,6;64,6;70,6;73,3;67,4;69,8;67,9;74,2;72,9
Amparo;27,6;15,2;**;27,3;53,1;31,7;70,5;69,5;65,3;54,8;77,8;72,1;70,5;82,9;66,7;79,5;68,4;67,6;80,6;81,1
Aparecida;15,2;9,2;6,7;16,2;18,3;22,0;29,6;33,6;23,4;33,9;67,0;72,3;62,0;71,3;81,4;66,1;74,7;75,0;73,1;78,3
Araçagi;50,6;60,9;57,6;63,7;63,5;68,5;56,7;42,6;40,8;53,4;49,5;61,0;55,8;50,0;53,1;58,8;61,1;69,3;69,3;74,5
Arara;22,9;44,2;31,9;21,3;21,0;27,2;45,8;47,7;44,5;41,4;54,7;51,6;63,9;72,2;81,8;69,1;75,0;75,7;73,0;71,7
Araruna;61,0;77,6;54,8;43,8;44,4;44,5;55,8;48,0;53,0;51,2;53,4;41,0;48,8;50,2;57,1;72,2;62,2;75,1;82,3;84,4
Areia;18,7;31,8;28,8;24,2;25,1;21,1;31,3;33,3;35,6;46,0;47,3;47,8;52,7;56,4;56,2;62,7;48,2;60,3;67,0;74,1
Areia de Baraúnas;51,3;34,0;15,4;13,9;**;26,5;25,6;34,2;41,5;46,5;46,7;37,9;68,0;51,5;66,7;44,4;71,0;70,3;70,3;76,9
Areial;22,4;61,3;30,6;36,4;33,7;44,3;73,1;68,1;62,0;78,1;82,1;75,9;72,3;80,4;83,7;83,3;82,1;78,3;82,3;72,5
Aroeiras;12,8;14,7;19,9;24,2;24,8;37,9;54,0;49,0;47,9;49,8;65,1;52,6;54,7;53,1;53,2;65,3;53,5;64,7;68,5;71,2
Assunção;**;26,8;34,0;42,9;37,3;43,1;53,8;40,0;46,0;57,1;67,7;80,6;71,2;67,2;62,7;74,4;83,3;83,1;85,1;85,7
Baía da Traição;12,8;20,0;12,1;22,6;23,3;23,5;46,3;48,2;49,4;62,1;50,3;59,8;60,8;47,9;58,4;53,6;54,3;65,5;76,1;67,6
Bananeiras;25,7;32,2;35,3;25,5;31,0;24,6;45,2;55,2;63,3;71,2;78,7;84,1;82,1;85,9;78,6;77,4;77,9;81,9;85,6;83,3
Baraúna;74,5;92,8;73,8;67,8;74,4;71,4;82,0;75,4;70,7;81,8;87,3;79,6;88,9;86,2;80,9;83,0;85,1;73,4;77,0;80,9
Barra de Santana;17,8;33,1;40,0;48,8;42,5;38,5;47,6;47,3;47,9;64,4;66,4;65,0;66,1;69,5;69,4;78,9;75,4;74,0;79,3;80,4
Barra de Santa Rosa;72,3;26,7;37,4;48,7;63,1;60,4;58,6;62,4;61,9;67,1;79,2;70,2;70,3;72,4;62,8;70,9;74,6;77,0;77,9;76,0
Barra de São Miguel;18,8;40,3;25,6;42,7;46,0;61,2;66,3;60,2;52,2;54,1;72,5;62,5;61,8;62,8;71,0;81,3;77,3;79,5;85,6;90,4
Bayeux;38,9;40,7;44,2;46,9;42,3;40,5;40,4;42,7;43,6;39,7;42,8;46,6;46,9;52,6;53,6;52,7;52,6;59,1;61,1;62,5
Belém;15,9;24,7;31,7;24,5;47,3;26,4;50,4;42,4;65,1;77,0;76,5;77,0;77,8;70,0;75,5;73,6;69,2;60,9;70,9;73,3
Belém do Brejo do Cruz;16,2;33,8;40,0;48,8;34,9;52,0;48,0;49,6;44,0;40,0;54,1;54,4;54,2;53,8;70,5;60,0;62,1;57,1;54,3;61,6
Bernardino Batista;23,6;20,8;46,0;58,2;74,1;75,7;82,5;91,3;83,6;79,0;76,6;72,7;77,4;80,9;79,0;86,0;76,4;79,2;94,6;88,4
Boa Ventura;12,1;14,6;23,1;23,8;22,4;23,2;25,6;25,6;34,4;28,4;50,6;71,6;64,4;64,0;65,3;69,0;79,1;73,6;68,8;81,4
Boa Vista;57,9;53,3;43,0;34,6;42,3;45,7;58,6;41,8;52,4;67,9;72,4;71,2;81,3;75,3;73,8;81,1;77,5;82,0;77,7;81,2
Bom Jesus;25,5;24,4;23,1;35,8;54,5;36,8;44,7;22,0;45,7;39,6;26,8;51,3;48,5;68,4;85,7;86,5;73,2;85,0;74,3;83,3
Bom Sucesso;17,8;7,9;7,4;29,0;27,8;16,9;**;31,6;21,9;10,5;18,7;18,9;19,6;44,4;49,1;66,7;79,6;76,1;66,7;81,6
Bonito de Santa Fé;15,0;12,7;3,2;12,7;9,5;10,6;9,3;31,4;46,1;34,9;48,5;58,7;66,7;64,5;72,3;67,8;70,9;64,6;80,3;74,4
Boqueirão;28,7;41,1;42,9;53,6;50,5;45,7;56,7;51,0;47,7;54,5;60,8;60,1;62,9;65,0;72,3;74,6;69,8;74,1;77,0;77,8
Igaracy;12,0;40,4;43,3;28,4;36,1;41,9;48,5;42,9;57,0;64,9;52,4;66,7;74,1;61,8;73,1;78,3;76,1;64,2;67,6;80,0
Borborema;17,1;30,5;38,1;32,0;31,3;24,7;49,2;54,0;33,7;58,6;43,0;55,6;62,3;64,8;64,7;71,8;67,2;79,2;79,2;84,9
Brejo do Cruz;13,0;23,2;43,1;41,4;45,2;65,6;57,6;49,8;51,1;59,8;45,7;61,7;62,0;68,4;70,4;61,8;70,1;77,0;71,8;75,4
Brejo dos Santos;**;9,1;12,4;13,0;13,7;3,7;8,8;24,2;21,6;11,0;14,6;47,8;58,6;52,6;44,4;55,4;48,5;61,0;65,8;63,0
Caaporã;63,7;71,9;74,7;75,5;53,6;47,8;53,4;52,7;51,5;51,2;56,3;71,6;70,3;69,1;70,9;76,9;77,9;74,9;75,1;75,2
Cabaceiras;24,6;35,0;34,4;36,5;56,2;25,0;56,5;37,8;52,7;74,7;74,0;67,1;57,4;71,4;73,8;75,0;75,0;78,0;85,3;86,8
Cabedelo;49,2;49,0;51,4;58,4;59,0;56,3;56,0;60,2;60,7;57,3;59,5;61,3;66,3;66,2;70,1;69,7;68,8;72,5;71,0;70,8
Cachoeira dos Índios;12,8;11,0;33,1;48,6;64,0;57,3;35,2;35,4;29,9;32,8;38,6;49,0;49,6;55,6;57,5;62,9;63,6;68,0;72,1;61,7
Cacimba de Areia;63,0;48,2;33,3;22,6;28,9;26,7;22,0;51,7;47,5;57,1;71,7;58,3;58,1;65,9;61,8;77,6;76,9;58,1;68,1;85,1
Cacimba de Dentro;26,7;35,7;29,8;33,8;32,5;25,7;44,1;41,9;50,8;47,5;69,2;62,1;68,4;72,6;72,9;74,1;70,2;67,3;72,4;74,9
Cacimbas;46,2;30,9;23,8;25,1;12,6;17,6;21,8;31,4;26,4;44,6;43,8;33,3;38,8;46,6;54,3;53,4;63,6;79,3;65,4;73,2
Caiçara;18,8;31,5;32,4;15,8;35,0;34,4;35,6;47,4;62,3;62,8;62,5;63,3;71,8;74,3;76,9;69,1;69,8;62,3;68,8;73,4
Cajazeiras;24,6;26,6;30,8;40,7;56,0;46,6;44,3;41,6;44,9;44,5;50,3;67,0;66,9;62,0;67,7;69,9;72,3;70,9;77,0;81,1
Cajazeirinhas;71,4;80,0;81,1;46,6;57,1;65,4;47,6;28,1;75,0;81,7;74,2;74,6;77,8;65,5;83,3;89,8;83,3;74,5;67,6;66,7
Caldas Brandão;25,6;23,9;41,3;56,3;57,3;27,0;50,0;43,7;56,8;40,2;53,3;54,8;52,2;57,5;63,3;74,5;69,9;80,8;72,6;84,8
Camalaú;15,0;12,7;**;6,5;8,0;27,6;25,5;35,4;30,6;38,1;46,2;59,3;62,5;74,1;76,1;85,6;80,8;79,1;78,6;81,8
Campina Grande;37,7;45,7;41,9;44,2;42,4;45,0;56,3;48,3;50,6;52,6;63,2;51,0;53,4;62,7;69,7;72,3;70,0;73,3;70,9;70,5
Capim;21,7;25,0;28,0;37,5;41,2;42,7;47,4;62,5;45,2;45,7;58,6;56,5;50,5;46,7;50,0;50,0;58,3;73,0;62,7;73,9
Caraúbas;26,9;32,6;25,0;19,6;24,1;31,1;50,7;46,0;67,6;57,7;67,1;64,3;62,7;78,0;77,3;63,8;80,7;74,5;83,6;82,8
Carrapateira;30,0;28,6;27,3;48,4;25,0;29,4;25,7;43,3;37,5;40,6;44,4;80,8;51,9;77,3;81,6;52,2;72,2;78,1;81,1;86,7
Casserengue;21,2;39,0;40,3;28,9;33,1;29,6;45,6;44,8;53,6;53,8;58,9;60,6;84,9;76,5;78,0;84,8;86,6;91,3;86,5;93,3
Catingueira;39,6;32,5;25,0;22,2;18,5;26,5;25,6;36,9;41,2;48,1;56,1;48,1;45,9;49,2;63,2;59,7;64,7;75,4;78,9;76,8
Catolé do Rocha;33,0;37,2;27,4;18,8;35,8;40,3;53,5;56,3;63,1;67,0;64,7;69,1;66,1;65,0;70,6;74,8;70,7;76,2;77,2;81,2
Caturité;22,6;39,3;36,7;50,6;56,4;41,6;59,1;50,7;63,0;78,5;75,0;62,2;66,3;79,5;79,1;80,5;85,7;89,6;88,0;83,5
Conceição;35,9;17,4;12,4;12,5;16,4;7,1;8,6;18,2;22,5;22,9;32,6;45,5;41,4;42,1;55,7;67,9;66,9;70,3;79,8;81,3
Condado;42,1;70,3;37,0;35,6;28,8;35,7;35,6;45,7;48,4;54,2;56,4;61,0;61,0;58,8;65,9;53,8;69,1;84,7;78,7;79,6
Conde;29,0;29,8;29,0;34,0;26,9;27,2;32,8;42,7;39,4;43,0;48,6;64,6;74,2;70,1;72,3;66,1;62,4;68,0;67,8;69,0
Congo;14,9;8,1;13,8;19,5;21,4;22,9;49,4;55,4;31,3;56,6;65,1;63,6;75,0;72,7;76,0;84,2;73,1;81,9;78,4;80,0
Coremas;22,8;32,0;21,1;12,7;13,3;7,7;9,6;16,4;18,8;31,3;47,5;48,3;54,1;64,2;77,2;69,5;62,7;59,0;72,4;77,0
Coxixola;**;46,7;**;39,1;46,2;**;60,0;58,3;55,0;50,0;41,7;37,5;50,0;42,9;57,1;50,0;76,2;34,8;70,0;44,0
Cruz do Espírito Santo;28,5;36,5;44,0;42,8;42,5;44,7;55,2;50,2;38,1;46,7;40,0;43,2;47,3;49,3;49,8;48,8;45,6;54,5;60,3;64,1
Cubati;29,6;47,7;46,2;48,7;39,3;48,1;51,5;49,6;67,2;73,7;60,9;60,8;81,1;77,5;75,7;82,7;81,7;79,3;82,9;81,7
Cuité;18,5;17,1;21,7;31,4;32,8;20,4;41,9;42,7;48,0;58,5;64,7;56,3;63,6;68,2;70,8;71,1;71,2;77,2;81,5;77,8
Cuitegi;46,2;36,8;35,0;49,6;56,9;55,6;49,2;40,0;53,8;61,9;48,2;59,8;53,5;63,3;52,0;67,0;73,3;69,6;73,1;74,8
Cuité de Mamanguape;**;28,3;35,7;42,4;50,8;31,1;39,7;50,8;43,0;39,8;50,0;57,8;53,2;41,7;49,4;53,2;57,6;61,2;57,0;65,0
Curral de Cima;27,9;43,2;43,2;39,4;61,1;50,0;55,1;52,8;46,9;44,6;34,2;41,1;38,2;55,3;44,0;50,0;53,5;54,9;77,8;80,6
Curral Velho;**;10,9;30,4;26,0;**;18,4;11,9;17,9;22,2;41,5;56,5;73,1;65,2;59,4;72,0;100,0;83,3;76,7;78,3;61,9
Damião;46,3;66,0;44,2;35,6;62,7;47,6;59,0;73,6;59,4;69,6;86,5;54,5;69,2;72,7;74,6;80,8;71,2;76,4;76,4;88,9
Desterro;44,7;50,6;32,3;29,1;17,4;48,1;55,5;59,3;46,8;56,7;49,6;49,2;49,2;56,5;57,0;65,9;72,3;65,5;69,9;74,1
Vista Serrana;54,5;43,1;23,1;28,8;22,7;29,2;22,7;50,0;56,7;60,4;77,1;46,3;60,8;60,5;68,8;71,1;69,2;78,4;68,8;73,2
Diamante;9,7;14,7;18,3;17,1;11,0;14,1;24,8;26,4;29,6;33,7;35,0;47,8;69,4;62,5;62,8;73,7;62,2;71,9;70,2;73,2
Dona Inês;18,2;14,0;12,1;21,3;33,7;30,0;33,7;38,5;46,7;55,3;63,2;70,6;74,8;81,2;65,0;74,7;72,1;78,1;77,2;85,2
Duas Estradas;35,6;42,4;43,2;49,3;49,2;65,7;45,6;48,4;47,4;55,9;60,7;82,0;63,5;76,9;74,7;66,7;82,4;68,1;59,5;61,4
Emas;25,0;26,4;21,4;29,9;15,9;27,7;42,9;42,1;48,5;56,7;59,5;74,1;78,8;61,1;74,4;61,9;67,5;71,4;73,1;83,3
Esperança;24,4;62,1;26,4;30,8;27,7;44,2;64,6;67,5;66,7;68,8;74,8;64,2;77,9;74,9;78,0;80,4;76,5;79,1;79,5;78,8
Fagundes;18,6;40,2;40,2;45,5;35,4;36,4;44,4;38,6;49,8;58,8;53,9;44,4;47,8;61,6;70,8;74,5;69,9;68,5;78,9;75,1
Frei Martinho;66,7;68,9;65,9;72,5;87,5;79,5;67,4;69,7;76,7;70,0;93,2;74,2;70,0;75,0;80,0;85,7;85,7;87,0;81,8;90,9
Gado Bravo;9,7;39,7;39,1;31,7;41,5;45,8;56,7;48,2;40,5;63,1;51,9;56,6;62,0;64,3;79,1;76,5;78,9;77,6;78,9;84,0
Guarabira;57,9;63,2;60,0;60,4;65,9;70,4;59,8;58,4;62,0;71,3;73,2;73,5;73,0;75,5;71,7;72,1;76,4;73,0;75,3;76,6
Gurinhém;35,6;63,3;45,0;58,4;58,5;56,2;57,8;60,3;56,5;53,5;53,2;53,9;56,6;58,9;65,5;55,3;61,5;67,4;77,7;71,6
Gurjão;56,3;57,5;42,3;40,4;41,5;45,5;51,1;68,4;72,7;65,2;71,1;65,9;84,8;84,8;67,5;81,5;73,3;83,7;82,4;69,8
Ibiara;20,8;37,8;27,8;24,7;15,5;16,4;32,1;24,6;34,7;28,2;61,0;65,3;71,9;68,7;72,3;68,7;80,0;82,1;84,0;83,3
Imaculada;40,8;35,8;31,4;29,3;20,4;15,9;23,8;13,2;22,4;28,3;31,4;48,9;59,5;54,3;62,3;63,6;77,1;81,2;79,8;87,7
Ingá;27,1;33,8;37,5;43,7;38,1;40,8;50,6;43,5;44,7;60,0;58,4;54,9;53,9;62,5;78,8;75,9;74,9;79,3;74,0;75,7
Itabaiana;36,4;68,1;62,2;65,5;61,8;65,7;66,1;51,1;51,3;38,3;39,5;41,2;40,8;36,6;36,7;37,3;38,8;47,8;71,8;72,0
Itaporanga;12,3;15,1;18,9;24,0;14,7;14,7;27,2;30,1;34,5;25,7;30,3;53,1;50,0;54,6;61,0;64,8;70,7;66,9;68,4;77,8
Itapororoca;42,3;49,3;41,9;40,1;41,1;42,0;34,2;34,0;42,8;44,5;47,2;50,6;49,4;56,1;55,7;45,2;57,7;58,4;57,0;60,7
Itatuba;20,0;35,9;33,0;34,7;41,4;37,1;50,7;41,3;43,6;67,3;56,4;48,2;49,4;60,8;69,8;66,9;73,8;76,4;75,3;79,1
Jacaraú;26,6;25,4;31,3;39,7;37,6;42,7;41,4;57,3;50,0;58,0;61,4;62,6;64,0;55,9;64,6;66,0;69,3;69,3;72,7;70,6
Jericó;17,4;20,1;15,3;10,6;28,7;30,2;35,2;50,0;44,7;26,0;31,5;52,4;52,9;45,4;57,8;54,0;47,7;61,5;66,0;76,6
João Pessoa;51,0;55,6;53,5;55,9;51,9;50,5;51,9;55,1;56,4;59,8;59,5;57,4;62,6;62,9;62,7;63,3;62,9;67,3;67,0;67,1
Juarez Távora;14,3;21,9;27,5;31,4;37,5;30,4;45,0;52,0;44,4;42,7;57,5;50,8;52,4;60,5;63,4;70,0;69,3;67,6;88,0;76,9
Juazeirinho;12,1;15,3;16,6;9,3;17,8;32,2;49,2;47,1;53,9;59,8;71,4;71,4;69,6;67,0;66,9;74,6;78,2;71,4;75,0;79,7
Junco do Seridó;45,2;47,1;45,3;57,3;57,4;60,4;57,1;49,0;73,9;67,9;71,8;66,3;69,6;68,8;60,2;75,6;71,7;84,2;75,5;82,8
Juripiranga;38,6;49,4;47,3;37,2;51,3;45,7;54,5;53,1;61,4;48,9;40,9;49,2;61,7;66,5;75,1;73,7;75,9;80,0;79,1;88,7
Juru;4,8;13,3;23,6;29,7;15,2;25,8;19,4;19,3;45,7;32,8;52,0;37,5;40,9;55,1;65,5;76,2;83,8;79,1;85,0;84,8
Lagoa;24,5;38,9;24,4;27,4;31,3;45,3;50,8;46,0;44,9;19,3;62,0;66,7;80,6;63,9;77,8;82,8;84,1;87,5;76,1;71,2
Lagoa de Dentro;39,5;34,1;20,9;52,9;43,3;51,4;50,0;57,6;50,8;79,8;58,1;68,1;62,0;55,5;66,4;71,7;63,5;59,1;71,0;76,5
Lagoa Seca;31,8;39,6;35,5;43,3;35,9;44,4;47,6;36,8;40,2;58,5;64,2;58,7;67,5;69,0;71,8;78,6;71,0;71,5;71,6;74,8
Lastro;9,4;16,3;12,9;37,5;**;46,9;48,8;57,8;52,7;44,0;77,4;49,0;72,1;68,9;77,3;70,8;68,8;70,9;78,7;71,1
Livramento;22,8;14,8;27,3;27,9;36,4;50,3;70,7;48,8;61,3;62,0;51,2;59,3;61,9;61,6;71,3;80,4;79,4;75,0;79,2;83,5
Logradouro;11,9;26,5;42,2;25,0;51,0;50,0;54,5;51,9;60,7;64,4;71,1;78,0;84,9;76,1;70,9;79,4;71,1;79,7;89,1;81,4
Lucena;18,8;31,9;35,5;30,3;37,1;31,7;39,6;32,2;36,9;38,2;40,3;43,4;45,7;51,4;58,0;53,2;48,4;55,0;57,3;60,8
Mãe d'Água;16,4;27,8;28,6;17,2;18,7;25,0;32,8;39,7;50,0;50,0;62,1;66,0;60,0;53,5;60,5;75,0;65,4;90,7;77,3;76,6
Malta;52,7;53,9;21,4;26,5;23,3;24,4;12,7;27,8;47,5;55,4;46,1;50,0;68,8;60,5;70,1;67,5;59,4;78,3;76,2;79,0
Mamanguape;28,2;40,4;44,9;48,3;46,3;39,3;34,8;46,0;41,5;43,6;46,1;51,3;59,2;54,4;55,9;52,8;57,6;59,7;65,9;69,7
Manaíra;6,9;9,3;13,8;13,9;12,0;11,5;10,2;5,6;31,9;46,1;40,2;55,6;45,8;50,3;68,8;62,7;64,6;78,5;81,9;88,8
Marcação;7,4;10,2;9,7;21,2;22,1;25,5;51,2;55,2;52,3;49,7;58,3;64,5;58,6;56,9;58,3;66,0;77,6;79,1;74,5;78,5
Mari;32,5;28,4;30,1;34,0;49,4;51,4;41,7;49,2;45,7;54,8;62,0;59,6;64,9;60,6;69,5;69,2;67,2;76,2;78,3;79,7
