Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Rio Grande do Norte;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Acari;37,6;18,9;18,8;26,4;26,7;41,2;78,9;79,4;82,9;46,5;38,8;62,6;65,8;61,4;76,2;74,7;67,9;72,4;80,0;87,1
Açu;21,9;17,1;13,4;11,2;11,5;14,0;22,5;15,6;17,3;13,7;15,0;48,1;55,8;62,7;60,2;61,5;65,6;63,9;64,3;65,1
Afonso Bezerra;10,8;16,9;29,7;26,8;23,9;26,3;45,8;35,3;34,6;45,3;32,8;51,7;64,2;63,6;53,3;58,2;63,8;59,5;61,4;65,6
Água Nova;40,3;78,3;56,3;64,1;85,7;69,6;73,8;86,8;92,6;91,8;89,1;90,7;88,2;93,2;85,1;92,9;92,5;92,1;88,9;89,2
Alexandria;5,5;4,1;8,1;18,0;17,4;29,7;20,0;31,5;21,9;17,5;21,5;52,9;53,7;47,0;51,9;51,6;65,9;68,2;65,4;66,5
Almino Afonso;23,7;19,7;23,1;31,3;64,9;43,6;45,2;29,9;35,4;52,2;36,1;54,5;56,1;54,4;44,3;72,3;93,8;82,0;65,4;77,1
Alto do Rodrigues;41,3;40,3;46,0;29,6;48,4;29,7;18,9;30,4;34,7;44,4;50,0;51,1;56,9;49,3;52,2;59,8;59,9;64,2;61,3;65,3
Angicos;18,3;21,7;21,7;27,9;24,6;23,8;82,1;74,5;67,2;54,5;51,1;50,6;67,7;61,2;69,0;78,9;75,7;78,6;75,7;72,7
Antônio Martins;5,6;4,0;**;3,7;9,8;12,3;**;**;20,2;9,8;12,6;71,0;76,8;59,5;71,1;71,8;75,3;79,7;80,3;76,1
Apodi;5,8;11,5;11,7;11,1;7,1;52,4;50,2;54,3;56,5;56,1;50,5;75,3;79,1;65,7;62,0;58,9;64,4;75,1;73,8;83,3
Areia Branca;39,4;49,6;48,9;48,6;36,7;39,1;43,3;36,0;31,0;23,2;22,7;45,0;48,4;54,7;47,6;50,7;54,5;64,9;64,9;63,8
Arês;25,7;15,2;21,4;25,7;24,9;27,6;52,0;43,8;33,5;45,3;34,3;39,3;46,2;46,0;44,7;51,0;53,1;58,4;56,3;56,7
Augusto Severo;14,8;26,8;27,7;41,1;32,8;41,2;39,9;31,4;37,1;33,6;37,5;50,0;65,4;66,7;68,6;62,2;69,1;73,8;80,8;79,1
Baía Formosa;15,6;33,3;19,7;19,5;20,0;22,3;29,8;42,1;46,3;34,0;31,3;34,7;45,5;45,0;51,6;57,4;52,7;48,8;57,9;64,6
Baraúna;56,4;48,0;43,7;37,5;37,0;36,0;34,6;38,2;31,3;13,1;16,2;47,6;52,6;57,7;53,5;63,2;57,4;63,5;67,3;64,8
Barcelona;19,1;21,7;29,0;25,4;14,3;24,5;40,0;20,5;27,5;30,8;56,4;68,4;57,1;62,7;64,3;69,6;70,0;78,4;74,4;82,0
Bento Fernandes;53,4;36,0;25,2;29,9;33,3;31,5;32,9;42,9;43,1;46,8;31,3;25,0;34,5;31,7;44,8;54,0;42,6;51,5;55,6;50,7
Bodó;55,6;29,7;32,6;31,0;29,3;52,2;41,5;36,5;56,6;53,8;67,4;52,5;80,0;69,4;71,4;77,6;71,9;81,3;82,0;81,5
Bom Jesus;13,7;24,4;18,1;19,0;31,3;26,8;36,9;35,7;34,6;42,5;50,7;56,0;55,6;52,4;60,4;73,5;66,1;66,1;63,1;76,9
Brejinho;30,6;18,4;23,8;18,4;17,7;36,0;54,7;51,6;61,7;55,3;56,9;61,6;54,6;51,3;57,6;73,2;64,3;64,0;63,3;69,0
Caiçara do Norte;14,6;31,1;26,4;36,7;38,1;47,3;35,0;52,0;60,0;47,3;42,9;37,8;39,3;52,0;48,5;52,2;45,7;42,7;58,9;55,3
Caiçara do Rio do Vento;13,3;11,1;21,4;21,3;35,0;31,1;42,1;40,0;56,8;55,6;40,4;42,9;40,7;56,5;84,3;67,3;69,5;79,2;79,3;90,9
Caicó;27,2;42,2;57,1;58,1;64,1;62,0;60,6;58,8;63,4;68,5;65,3;67,4;68,5;71,1;76,7;78,2;80,1;80,5;77,2;82,0
Campo Redondo;24,0;19,4;29,3;31,8;45,5;32,9;38,6;43,9;60,1;49,6;46,8;55,8;47,1;61,0;76,7;73,1;70,1;67,4;75,8;84,9
Canguaretama;5,7;16,3;20,1;17,6;13,8;27,7;34,2;37,6;36,0;37,2;31,3;32,9;41,6;45,3;53,9;53,9;46,7;50,8;58,1;58,9
Caraúbas;17,6;21,5;18,2;22,8;20,1;40,0;35,6;35,6;49,4;42,5;38,4;58,4;70,4;72,7;70,6;67,2;67,3;66,8;73,3;82,2
Carnaúba dos Dantas;24,0;18,3;24,4;30,3;30,1;46,1;73,6;67,6;82,4;70,2;66,7;72,9;83,8;83,9;84,8;82,3;80,9;90,9;80,7;91,4
Carnaubais;26,9;20,9;16,7;15,3;17,5;18,1;28,9;16,4;19,1;18,5;18,6;50,7;40,4;43,8;40,6;48,9;49,0;50,9;45,1;54,5
Ceará-Mirim;15,0;13,0;15,9;17,6;15,0;17,1;22,9;38,6;26,8;26,5;36,7;44,4;49,2;45,4;47,9;47,2;46,9;54,1;51,9;55,9
Cerro Corá;31,9;30,9;41,6;30,8;33,1;34,1;51,5;54,0;57,0;66,7;64,0;59,4;68,8;64,1;71,8;69,0;79,7;79,0;83,4;78,0
Coronel Ezequiel;4,5;7,9;21,0;29,6;42,3;32,6;55,6;55,4;61,4;52,4;55,9;54,8;59,1;66,2;79,2;84,4;75,7;90,1;75,9;89,5
Coronel João Pessoa;28,9;45,1;28,4;36,7;24,7;27,3;35,0;23,5;50,0;54,4;55,4;63,0;68,9;56,3;53,5;75,4;77,6;88,5;88,2;77,6
Cruzeta;33,3;26,5;37,5;25,0;16,0;24,8;26,1;48,0;63,7;65,4;61,0;50,5;65,7;59,2;64,9;63,2;68,0;76,6;79,1;70,0
Currais Novos;56,5;61,5;57,4;52,5;50,4;47,4;50,4;52,9;69,8;70,3;77,4;58,1;56,9;61,3;64,9;67,6;68,4;72,7;76,2;77,6
Doutor Severiano;46,4;60,7;72,6;80,4;64,2;59,2;65,0;72,7;76,8;65,4;52,4;65,4;66,1;68,6;82,3;77,1;87,4;94,1;82,6;84,8
Parnamirim;36,8;40,1;46,2;52,1;56,8;54,4;52,6;75,1;65,2;62,7;64,4;59,6;63,4;62,8;64,1;63,8;65,4;63,6;66,4;69,3
Encanto;58,2;63,2;51,0;43,2;79,5;87,8;84,8;71,9;57,8;48,9;63,9;53,9;67,5;69,3;71,0;65,4;80,2;82,5;90,2;85,4
Equador;23,3;40,7;45,4;43,0;39,6;57,1;67,7;74,1;84,9;87,6;81,9;78,6;79,0;75,0;71,9;71,6;83,6;76,5;85,5;81,7
Espírito Santo;16,9;16,2;13,4;15,2;21,3;22,7;29,5;33,3;40,4;46,3;47,7;45,5;53,0;53,3;55,4;61,8;56,4;53,1;70,1;84,8
Extremoz;22,3;27,0;25,8;22,5;24,4;24,5;27,6;30,8;32,9;41,5;47,7;48,5;46,3;52,3;53,1;51,9;50,5;48,3;54,5;60,5
Felipe Guerra;8,2;14,5;26,6;11,1;12,5;42,0;42,3;15,6;31,8;45,0;61,5;69,1;68,7;64,6;68,1;66,7;73,0;57,6;69,1;75,6
Fernando Pedroza;17,1;**;25,0;37,8;28,2;35,9;65,0;51,4;45,6;44,7;45,7;64,6;69,7;57,9;64,7;73,3;63,3;62,5;62,2;85,7
Florânia;30,6;33,1;33,1;46,7;44,7;41,7;52,1;47,9;59,0;59,0;72,2;63,4;58,5;57,7;70,1;68,9;69,1;78,7;77,0;82,1
Francisco Dantas;41,9;84,4;79,6;75,9;77,8;89,8;77,8;88,4;91,5;98,3;88,2;78,8;78,3;60,6;70,6;59,3;90,6;86,7;97,5;93,8
Frutuoso Gomes;**;**;**;10,2;27,8;20,5;27,1;33,3;40,6;47,6;57,3;72,6;67,8;81,1;81,3;93,0;87,0;81,1;86,9;78,0
Galinhos;61,8;48,6;48,4;24,2;28,9;26,3;**;29,4;42,9;18,5;21,9;57,9;46,9;42,1;35,5;28,2;23,5;32,4;51,4;61,5
Goianinha;9,7;13,7;20,5;24,7;28,6;33,3;36,9;41,9;40,5;47,9;46,7;43,5;52,9;56,3;58,2;60,0;63,5;68,9;66,5;69,2
Governador Dix-Sept Rosad;33,1;40,9;42,3;26,9;25,9;28,2;29,3;48,6;51,4;17,5;19,4;40,0;34,6;43,8;57,1;57,9;65,7;66,4;65,5;74,8
Grossos;43,3;64,3;45,4;49,2;66,4;44,4;48,0;51,2;36,4;13,9;12,3;56,3;53,4;51,3;63,3;63,1;64,3;68,0;75,9;75,2
Guamaré;37,9;47,0;46,7;42,7;42,1;39,2;50,0;43,0;37,4;49,8;48,1;55,6;62,0;59,0;64,9;71,5;78,3;78,1;79,4;82,6
Ielmo Marinho;14,3;20,3;14,9;9,0;7,1;12,2;18,5;31,0;24,6;21,9;29,2;28,8;48,2;52,1;52,6;64,7;54,1;62,1;71,6;72,1
Ipanguaçu;11,6;11,2;7,4;8,5;16,5;12,2;13,4;12,4;14,1;12,1;15,8;43,0;58,4;55,7;60,7;59,2;55,3;67,8;64,3;69,9
Ipueira;43,3;50,0;66,7;55,6;54,5;46,9;52,0;57,9;76,0;88,5;65,2;72,2;77,3;84,0;80,0;81,0;66,7;84,0;84,2;93,3
Itajá;17,6;17,1;6,9;10,3;9,7;17,5;16,9;11,8;11,6;22,9;24,2;52,0;57,9;47,5;65,0;57,0;61,1;61,6;59,7;66,3
Itaú;38,6;21,2;59,6;55,5;42,3;47,7;61,4;53,8;60,8;68,1;71,8;73,0;70,7;73,4;56,7;75,4;72,4;77,1;79,7;75,0
Jaçanã;10,1;20,0;39,2;38,3;40,9;36,5;49,6;46,9;52,2;45,2;55,9;66,0;71,3;60,6;77,0;77,0;75,0;80,0;87,3;88,9
Jandaíra;31,3;33,8;52,8;34,2;45,5;21,2;32,2;44,0;42,2;41,3;30,4;44,6;43,5;29,2;58,8;55,4;46,5;51,1;56,8;69,6
Janduís;21,3;17,8;29,9;21,7;25,9;32,7;37,9;40,8;54,0;38,8;45,1;51,9;69,7;68,1;64,3;75,8;81,4;80,0;73,5;74,1
Januário Cicco;42,3;28,3;29,6;26,6;21,2;26,7;30,6;33,8;45,6;27,2;35,4;40,2;34,2;52,9;60,3;57,3;67,7;68,8;74,7;64,7
Japi;35,5;34,8;23,8;15,0;35,2;44,4;52,8;53,4;63,1;58,1;52,5;64,9;52,5;70,1;66,7;69,8;76,7;72,1;82,2;85,3
Jardim de Angicos;48,8;48,1;30,2;37,0;35,9;27,3;41,7;50,0;41,9;40,0;21,6;33,3;32,4;37,1;40,7;34,6;66,7;68,6;64,9;68,4
Jardim de Piranhas;17,2;25,7;43,7;42,1;62,5;39,8;51,7;50,0;52,3;53,3;47,8;66,8;56,7;62,3;72,9;67,4;66,1;83,3;86,2;86,8
Jardim do Seridó;6,4;6,7;36,7;67,6;75,5;77,1;77,3;77,0;85,6;88,9;93,4;83,9;87,9;89,7;86,5;89,3;81,9;85,0;90,6;87,1
João Câmara;53,0;43,1;40,4;40,2;34,7;26,3;39,1;43,3;42,6;37,1;33,6;34,4;41,1;41,2;44,8;48,5;54,5;62,6;64,6;69,4
João Dias;**;**;7,6;**;15,0;15,0;20,6;41,7;22,9;40,5;36,5;77,8;45,5;66,7;57,1;70,8;38,5;65,7;67,5;65,7
José da Penha;47,5;61,7;68,8;83,3;86,0;79,8;80,6;85,9;84,2;89,1;94,9;84,2;90,8;86,9;77,5;87,0;83,8;82,8;82,7;89,9
Jucurutu;11,6;10,2;22,4;33,0;31,7;48,4;49,2;44,5;48,2;53,0;62,9;78,1;80,9;75,5;84,0;69,2;72,5;79,1;84,7;79,5
Jundiá;**;**;14,3;13,6;17,4;21,6;32,1;25,0;35,2;50,9;68,8;63,2;63,2;69,6;80,8;60,0;58,8;52,4;72,2;58,3
Lagoa d'Anta;30,3;33,3;33,6;23,5;24,8;14,4;51,4;44,7;50,6;48,4;30,8;38,6;50,7;64,4;71,7;76,5;68,1;76,1;69,8;84,3
Lagoa de Pedras;14,2;14,3;15,0;22,8;22,2;32,4;33,3;25,8;43,8;37,9;42,7;39,6;44,3;53,6;64,0;68,9;64,8;60,6;65,2;68,7
Lagoa de Velhos;17,7;28,8;36,5;14,9;18,8;25,5;36,4;21,2;28,8;21,6;42,4;39,4;61,5;50,0;63,4;82,4;71,4;71,4;81,8;76,2
Lagoa Nova;35,6;37,8;40,3;34,5;27,2;16,4;25,4;28,7;41,2;39,8;51,7;57,9;76,6;70,1;76,2;80,7;84,7;73,1;77,5;84,4
Lagoa Salgada;20,6;17,1;20,5;25,0;31,1;30,4;41,4;56,6;35,7;43,6;44,0;45,8;49,3;54,6;49,3;57,9;53,0;57,3;63,4;64,5
Lajes;19,3;43,9;42,5;47,6;55,2;57,0;63,7;66,2;75,9;70,1;64,8;76,0;75,2;70,4;74,8;75,2;76,0;85,3;83,0;87,6
Lajes Pintadas;37,5;20,0;26,3;44,7;45,1;28,0;39,2;31,8;59,7;56,8;62,8;56,5;57,6;71,8;70,1;65,2;75,0;86,7;82,1;81,8
Lucrécia;**;**;7,1;12,1;54,3;41,1;33,3;**;40,8;60,5;67,5;76,3;67,3;65,1;62,0;87,8;90,9;77,8;90,2;93,5
Luís Gomes;52,5;59,5;72,3;72,1;76,1;58,7;60,7;72,7;72,4;67,6;66,5;62,6;77,4;76,9;68,3;61,0;69,0;70,1;75,4;74,2
Macaíba;15,4;15,3;21,4;20,6;24,1;30,9;40,9;43,5;44,4;45,3;55,0;48,5;61,3;62,0;67,3;68,4;67,8;73,3;72,4;76,9
Macau;67,3;69,9;70,0;60,1;41,9;40,8;46,6;43,6;38,8;67,0;49,0;50,7;41,6;52,3;42,7;51,2;55,9;48,7;52,4;58,8
Major Sales;29,8;37,7;53,8;66,7;63,1;82,5;64,5;80,3;91,0;75,9;75,4;80,6;67,2;78,7;80,4;81,5;91,1;84,1;86,8;91,1
Marcelino Vieira;29,7;40,3;41,0;50,0;53,9;53,7;49,0;60,0;53,2;53,1;42,5;52,7;56,2;53,1;51,1;55,7;67,5;75,5;74,3;68,9
Martins;26,0;31,9;44,9;41,8;46,9;39,6;37,1;48,5;62,0;58,3;66,7;73,4;81,7;70,0;59,4;78,9;78,2;74,2;79,8;85,8
Maxaranguape;15,9;12,2;21,3;18,2;11,9;17,4;26,4;23,5;18,0;25,9;30,5;36,4;47,6;46,8;43,7;46,8;63,3;40,6;57,4;54,5
Messias Targino;14,9;11,8;14,7;16,2;18,7;44,4;54,5;50,8;72,2;60,6;56,6;71,2;77,1;76,6;82,4;57,7;63,5;69,4;92,6;90,7
Montanhas;12,8;12,2;14,5;32,8;30,4;33,1;42,0;44,9;42,3;53,4;47,3;47,6;50,4;46,2;64,8;65,7;65,8;63,2;79,9;80,1
Monte Alegre;19,9;14,7;19,1;16,3;21,3;27,9;45,0;48,9;47,3;40,9;39,1;47,3;47,7;58,3;58,9;62,1;68,0;65,1;63,4;68,8
