Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Rio Grande do Norte;;;;;;;;;;;;;;;;;;;;
Monte das Gameleiras;66,7;53,8;29,4;46,2;40,5;21,7;28,0;58,1;55,6;27,0;46,0;67,6;67,6;50,0;48,5;76,2;87,5;73,8;80,9;91,8
Mossoró;48,9;59,5;53,8;40,0;30,9;28,0;28,3;34,0;30,8;18,3;20,7;46,1;46,7;55,6;51,7;49,0;57,4;63,1;69,4;67,9
Natal;43,0;45,3;43,4;42,5;42,9;43,8;48,5;48,7;51,4;53,4;54,3;53,5;54,2;56,7;57,1;58,6;58,7;56,8;61,1;64,3
Nísia Floresta;16,7;16,6;16,8;17,8;27,0;19,0;27,4;36,1;27,3;40,2;35,8;39,9;49,0;43,8;46,6;51,9;51,4;48,4;54,9;57,5
Nova Cruz;15,2;12,2;21,8;21,6;30,3;31,6;27,0;37,8;41,3;37,6;36,5;38,7;44,1;39,0;57,1;64,2;58,7;57,1;69,4;67,5
Olho-d'Água do Borges;6,2;31,5;22,1;18,4;39,7;35,7;37,5;35,8;43,9;33,9;32,6;56,4;60,4;81,1;86,5;83,3;70,0;86,1;81,6;83,3
Ouro Branco;59,7;41,9;60,6;74,6;69,7;51,9;64,6;66,1;70,2;71,7;64,4;81,3;87,3;89,8;85,2;89,8;83,3;93,4;89,8;95,9
Paraná;55,9;78,0;76,8;83,6;82,3;72,9;71,4;63,3;68,9;69,2;84,6;54,4;56,3;51,9;56,6;71,8;91,9;76,7;79,2;67,4
Paraú;25,5;12,2;15,6;9,5;12,1;13,8;12,3;8,6;13,1;12,0;15,6;39,6;45,0;50,0;60,7;47,7;59,5;58,1;79,6;78,0
Parazinho;30,5;28,6;27,2;44,4;35,9;47,4;43,8;39,0;41,5;44,3;46,8;39,4;52,0;68,1;67,1;57,8;75,5;80,7;64,5;83,0
Parelhas;29,6;33,6;33,0;38,8;45,1;49,6;54,1;62,9;74,9;76,5;72,3;72,9;73,5;77,5;75,9;76,2;78,1;81,4;85,4;88,1
Rio do Fogo;14,6;16,3;14,7;20,8;25,2;37,2;35,2;30,7;23,5;36,7;53,1;64,0;56,9;63,1;75,3;64,8;64,9;61,0;60,0;71,7
Passa e Fica;41,1;41,2;33,6;27,1;23,8;21,9;38,1;45,6;32,3;40,1;44,7;52,0;61,6;64,6;75,8;75,9;72,6;76,8;76,3;75,7
Passagem;35,9;25,6;24,0;19,4;35,1;21,7;59,4;56,3;45,0;41,7;50,0;47,7;31,1;52,9;63,4;61,9;57,5;56,5;69,7;50,0
Patu;11,8;11,5;19,9;14,8;16,7;31,5;52,3;46,3;46,6;41,3;62,3;73,6;82,3;72,5;83,6;83,2;92,6;79,3;82,9;86,0
Santa Maria;11,9;21,9;19,7;12,2;26,6;27,1;46,0;32,0;33,3;36,8;35,9;55,4;52,3;63,6;75,4;57,3;57,7;79,4;79,7;86,3
Pau dos Ferros;57,2;75,9;81,6;83,0;85,0;85,6;88,5;90,7;92,3;90,6;88,4;82,5;83,3;76,9;73,2;74,7;75,8;79,9;79,5;75,0
Pedra Grande;54,1;52,9;34,7;32,9;25,4;33,3;52,2;41,0;43,3;29,1;40,3;32,3;37,5;44,4;45,8;50,8;56,5;44,2;59,3;58,6
Pedra Preta;41,5;34,0;25,0;37,2;36,4;38,9;43,2;29,8;45,2;56,4;31,1;35,5;44,4;72,0;52,6;53,1;60,6;67,7;82,2;93,9
Pedro Avelino;12,0;19,4;35,0;33,3;48,5;27,4;36,2;51,0;44,2;44,7;60,0;47,5;46,8;61,1;60,0;59,5;62,5;71,2;76,6;86,9
Pedro Velho;18,5;33,7;23,7;27,0;26,6;30,9;35,9;40,4;39,1;47,1;34,6;31,4;35,2;42,3;48,6;61,8;60,3;54,6;61,3;64,4
Pendências;43,4;41,8;50,5;45,5;39,1;35,6;19,8;23,2;33,3;44,1;42,6;48,5;44,6;48,4;48,0;43,9;55,4;56,4;59,3;59,2
Pilões;15,2;10,4;12,5;26,6;46,7;52,3;55,3;50,0;46,9;33,3;53,7;51,9;60,6;62,5;69,2;64,7;57,6;82,1;85,7;84,3
Poço Branco;19,2;16,1;10,0;11,6;13,0;14,2;17,0;27,9;35,1;35,4;30,0;37,8;47,0;58,9;55,2;57,1;65,3;52,7;64,9;67,4
Portalegre;49,1;45,9;59,7;55,8;69,6;55,8;61,0;56,5;64,3;56,8;69,9;30,2;34,0;34,9;56,0;51,1;78,9;84,0;71,0;80,4
Porto do Mangue;54,8;57,6;38,8;38,2;24,4;22,6;23,0;26,9;20,6;16,7;16,9;29,2;43,5;39,7;23,3;29,5;49,4;46,7;65,2;57,0
Serra Caiada;10,2;22,4;14,5;23,9;18,7;34,4;38,8;37,1;46,9;23,8;23,1;47,6;42,2;29,0;53,6;60,6;73,0;64,4;61,4;70,7
Pureza;15,9;9,9;18,8;17,1;8,8;15,1;27,7;34,2;26,9;34,5;38,8;42,4;56,4;38,0;43,1;43,9;33,0;45,6;56,3;59,7
Rafael Fernandes;55,3;64,0;70,5;76,0;82,5;69,0;80,2;87,3;96,2;89,6;91,1;72,9;55,9;50,8;70,1;67,3;76,5;83,6;77,9;71,9
Rafael Godeiro;16,1;20,0;24,3;20,8;53,8;29,0;26,8;26,0;24,4;22,2;27,3;68,4;70,7;60,0;82,8;77,8;78,9;76,7;81,5;86,4
Riacho da Cruz;42,9;39,1;44,8;34,0;24,6;36,4;41,3;64,9;69,4;50,0;61,7;60,5;71,1;73,8;58,8;75,0;76,5;75,9;87,0;90,5
Riacho de Santana;33,0;72,7;69,5;73,9;81,5;86,2;83,3;86,9;87,2;86,2;77,4;61,4;78,6;86,7;61,4;73,3;81,3;87,3;89,2;93,0
Riachuelo;18,4;25,2;25,0;11,7;8,7;21,8;29,8;39,5;26,6;28,7;40,9;39,2;54,4;54,3;58,8;68,1;54,5;67,0;75,7;78,6
Rodolfo Fernandes;10,3;22,8;37,8;37,1;39,5;57,7;62,8;72,5;82,3;68,2;78,9;85,7;70,7;59,7;64,8;51,7;75,9;80,3;78,5;80,8
Tibau;77,6;66,7;64,6;60,8;65,6;50,0;50,9;59,4;46,6;18,6;15,6;46,5;49,1;37,3;57,9;61,9;75,0;74,6;74,5;71,8
Ruy Barbosa;11,3;9,9;20,0;29,3;21,4;31,0;70,2;59,0;69,4;54,5;65,4;69,2;66,7;53,7;79,4;85,7;78,8;84,6;78,4;87,2
Santa Cruz;19,5;21,1;22,8;30,9;36,2;42,8;50,7;42,1;50,2;44,9;38,5;53,3;56,7;61,1;62,0;57,0;66,5;68,4;70,9;74,7
Santana do Matos;20,5;24,6;28,1;33,7;36,5;37,0;47,7;62,0;54,9;60,7;51,4;54,4;59,6;51,7;72,2;68,1;54,5;56,5;70,6;74,2
Santana do Seridó;43,3;54,5;41,9;53,1;42,5;58,5;69,0;55,9;79,4;80,6;83,9;88,2;86,2;100,0;96,3;86,2;84,6;93,1;88,9;88,0
Santo Antônio;24,8;22,0;33,3;31,3;43,4;36,0;44,5;49,9;48,3;44,5;50,8;65,5;60,2;68,5;68,7;70,8;67,2;68,4;74,7;74,1
São Bento do Norte;23,1;40,9;35,3;42,9;45,3;28,3;39,2;48,3;41,7;45,0;53,1;53,8;50,0;51,2;57,9;45,5;57,1;68,2;68,5;64,8
São Bento do Trairí;17,5;12,7;24,4;27,7;18,3;50,7;49,4;53,9;56,9;48,1;64,0;63,0;72,9;73,0;56,3;65,8;70,7;72,1;70,0;79,2
São Fernando;18,4;30,4;46,9;45,6;64,8;58,8;64,9;43,8;70,5;84,2;72,0;72,1;89,8;67,9;84,1;91,2;86,2;78,4;84,6;82,1
São Francisco do Oeste;63,0;76,5;83,0;78,8;78,8;95,2;88,9;90,4;93,1;87,9;81,1;68,2;56,8;65,0;68,3;76,2;79,3;83,9;80,0;78,0
São Gonçalo do Amarante;30,5;36,9;31,7;30,3;36,6;35,1;39,2;21,4;29,6;40,4;52,9;53,7;56,9;57,2;56,0;57,8;59,5;59,5;60,4;66,9
São João do Sabugi;27,4;28,9;56,6;57,0;70,7;40,0;55,0;51,3;70,7;70,7;62,5;76,7;65,3;56,7;73,7;76,8;68,2;83,6;76,3;89,5
São José de Mipibu;14,4;17,2;17,8;17,4;16,3;22,1;28,2;33,9;33,7;35,8;40,7;40,4;46,6;47,8;52,6;58,7;60,1;60,5;63,0;67,9
São José do Campestre;19,2;22,0;21,1;25,5;30,9;31,7;34,9;42,7;44,5;40,8;43,6;41,5;58,5;59,4;65,1;78,0;75,9;75,5;77,9;75,0
São José do Seridó;12,8;12,7;32,7;24,5;46,2;41,3;63,5;50,0;61,7;78,6;60,5;73,8;83,7;77,6;86,4;73,7;73,7;94,9;86,4;88,2
São Miguel;36,2;49,1;41,0;48,0;44,0;36,9;50,9;43,8;38,8;59,1;48,7;49,6;67,1;60,3;75,1;70,7;72,6;69,9;77,6;82,2
São Miguel do Gostoso;19,8;14,0;13,7;34,9;27,4;15,9;36,4;47,3;32,5;33,3;33,3;44,7;59,8;56,3;58,1;68,2;57,1;54,5;64,4;77,9
São Paulo do Potengi;19,4;23,4;29,9;20,7;11,3;21,0;29,4;27,0;25,4;22,3;39,4;39,5;59,9;63,6;65,9;75,6;75,5;80,8;78,8;85,0
São Pedro;20,9;19,8;18,9;25,5;15,0;14,6;32,0;22,8;37,0;17,8;25,6;41,9;46,9;50,0;48,5;70,3;77,3;74,0;60,0;65,8
São Rafael;12,7;9,8;15,7;15,7;18,0;34,3;30,2;14,3;35,5;36,4;39,0;66,0;52,3;58,3;56,5;59,8;65,6;70,0;72,3;71,1
São Tomé;14,8;12,6;15,4;11,5;12,4;25,7;24,4;31,1;27,5;21,3;40,9;42,0;53,4;68,4;69,3;62,9;69,4;71,8;85,4;80,7
São Vicente;26,9;38,2;45,3;43,1;35,7;43,0;65,2;63,2;75,9;70,1;66,2;70,7;62,1;76,3;80,0;60,9;81,5;79,4;84,9;83,1
Senador Elói de Souza;8,3;17,2;15,0;24,7;**;14,8;39,6;24,3;15,6;17,1;42,0;45,3;46,1;33,8;54,8;44,6;57,3;59,3;72,9;69,7
Senador Georgino Avelino;12,3;26,6;23,4;29,6;22,9;16,3;33,9;48,1;49,2;65,7;53,2;66,7;54,3;59,4;68,3;68,1;68,2;53,7;69,1;68,7
Serra de São Bento;10,3;14,4;17,3;8,5;15,5;19,8;38,6;42,6;46,9;44,2;39,2;49,4;44,0;63,9;75,6;79,2;63,2;55,2;74,4;86,0
Serra do Mel;51,0;53,0;54,2;36,3;48,8;35,0;26,5;34,7;23,3;11,7;23,3;61,5;57,7;63,8;65,4;66,7;62,7;71,1;58,2;73,9
Serra Negra do Norte;13,2;33,8;37,2;34,5;43,0;43,9;54,1;42,6;58,0;80,2;64,9;73,5;63,6;82,2;76,5;82,7;74,7;72,0;65,0;87,3
Serrinha;20,2;10,8;11,5;15,9;26,1;27,3;32,1;36,5;36,7;38,2;38,3;45,0;51,9;46,7;62,1;54,7;66,7;70,9;76,6;69,9
Serrinha dos Pintos;9,4;24,1;32,9;49,2;49,0;42,9;60,8;57,3;65,7;41,5;63,5;63,6;65,8;54,8;71,0;74,5;83,7;93,2;88,4;87,1
Severiano Melo;26,7;35,6;35,5;42,0;54,6;63,6;36,1;57,0;55,9;45,4;63,2;65,2;60,3;57,9;70,0;76,8;81,4;86,2;81,0;83,3
Sítio Novo;21,7;13,0;13,1;12,5;19,0;33,8;39,4;40,3;47,7;47,9;57,3;46,7;57,7;69,2;80,3;76,4;78,6;84,3;83,6;87,9
Taboleiro Grande;51,3;68,0;78,4;64,0;88,0;76,2;65,0;72,7;78,4;72,0;75,8;50,0;38,3;46,7;51,9;66,7;81,5;70,3;80,6;80,0
Taipu;19,4;15,2;20,3;18,2;7,1;14,0;17,1;28,3;22,8;18,6;26,9;45,0;45,0;58,7;50,9;49,1;44,7;44,7;52,9;58,1
Tangará;19,8;15,9;17,5;23,9;25,8;36,4;47,8;46,9;46,4;50,0;45,7;51,0;58,8;61,4;58,8;62,3;67,7;72,7;82,6;82,4
Tenente Ananias;70,0;59,3;68,9;77,4;87,9;82,5;89,4;83,8;88,0;79,2;87,7;64,3;56,1;39,5;54,9;66,7;70,2;80,3;73,6;75,5
Tenente Laurentino Cruz;35,2;40,7;18,9;37,0;30,8;42,7;41,5;54,5;61,4;70,4;70,9;71,1;78,1;74,4;79,3;79,5;59,1;74,0;84,8;86,8
Tibau do Sul;15,1;12,5;18,6;36,3;35,0;27,0;41,7;44,4;48,7;45,0;47,3;47,0;45,5;53,0;60,0;59,1;62,9;57,3;65,6;69,5
Timbaúba dos Batistas;33,3;50,0;52,0;58,3;54,5;60,0;62,5;47,4;72,4;62,5;66,7;78,3;85,7;93,3;90,9;94,7;78,9;95,7;80,0;80,0
Touros;20,1;14,8;15,6;15,0;21,0;25,0;29,7;40,6;36,3;32,2;46,4;45,3;44,0;42,7;54,6;57,2;56,5;59,1;60,9;62,0
Triunfo Potiguar;14,3;23,1;17,2;20,8;22,5;37,3;31,9;16,7;30,3;31,6;33,3;43,7;57,4;56,9;38,5;43,4;52,1;88,7;75,0;65,9
Umarizal;27,1;42,1;38,4;43,1;43,0;42,0;38,6;44,4;63,5;54,7;48,1;64,0;64,2;72,3;71,3;71,3;76,6;72,2;80,7;76,8
Upanema;29,1;27,5;24,1;27,5;17,5;29,2;36,8;34,8;28,8;31,8;31,0;54,7;52,6;46,9;45,4;58,9;66,9;69,4;71,3;77,0
Várzea;20,9;13,8;25,3;21,6;40,0;39,0;43,6;40,3;50,7;36,6;16,2;52,2;73,4;51,6;53,1;72,7;64,6;70,2;80,8;74,0
Venha-Ver;17,1;46,3;35,1;42,1;53,2;35,3;49,2;39,7;41,5;53,4;65,4;67,2;79,2;72,5;66,2;77,4;83,0;72,7;89,4;85,7
Vera Cruz;22,9;21,4;12,7;9,3;10,0;21,6;44,7;49,1;47,2;49,7;52,2;46,1;60,8;61,8;67,5;70,3;69,1;68,6;70,0;76,4
Viçosa;57,8;60,9;74,3;54,8;82,1;50,0;53,3;82,1;66,7;64,0;89,5;82,6;72,7;72,4;67,7;85,7;84,6;100,0;77,8;81,8
Vila Flor;16,7;22,1;35,7;30,4;25,6;28,6;28,6;33,3;42,6;64,4;29,7;47,4;48,7;50,9;68,9;68,1;64,6;69,4;71,1;80,0
Rio Grande do Norte;32,6;35,7;36,4;35,8;36,7;37,9;43,1;45,4;46,5;45,9;47,6;52,9;55,9;57,7;59,5;60,9;62,6;63,7;67,0;69,9
Nordeste;31,3;32,6;33,7;35,2;35,7;35,2;38,5;39,9;41,4;42,3;45,1;47,0;49,7;50,6;54,7;57,6;59,6;61,4;64,8;67,5
Brasil;43,7;45,5;47,8;49,9;52,0;52,8;54,5;55,8;57,0;57,9;60,6;61,3;61,7;62,4;64,6;66,5;67,7;69,3;70,8;72,4
** - Para evitar a interpretação inadequada de taxas instáveis, foram suprimidos valores baseados em baixa frequência de casos (maior que 0 e menor que 5).;;;;;;;;;;;;;;;;;;;;
** - Indicador não calculado, pois o denominador é igual a zero.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;;;;;;;;;;;;;;;;;;
URL: https://www.proadess.icict.fiocruz.br/;;;;;;;;;;;;;;;;;;;;
